id,Actual,Predicted
567240,0,0
488161,0,0
445164,0,0
93737,0,0
228984,0,0
17975,0,0
367737,0,0
379668,0,0
507775,0,0
269656,0,0
218265,0,0
275009,0,0
527641,0,0
118664,0,0
558705,0,0
199948,0,0
564998,0,0
226267,0,0
560062,0,0
274589,0,0
313196,0,0
148889,0,0
215842,0,0
423325,0,0
220788,0,0
204333,0,0
95232,0,0
181041,0,0
294829,0,0
448040,0,0
577458,0,0
329289,0,0
341126,0,0
566875,0,0
180608,0,0
511746,0,0
335769,0,0
94658,0,0
134806,0,0
126267,0,0
301651,0,0
117498,0,0
154767,0,0
532477,0,0
582132,0,0
408389,0,0
561690,0,0
216307,0,0
234411,0,0
507348,0,0
455534,0,0
450623,0,0
217346,0,0
310256,0,0
499431,0,0
510758,0,0
301060,0,0
457874,0,0
550028,0,0
529855,0,0
84996,0,0
253161,0,0
397161,0,0
279971,0,0
404961,0,0
415645,0,0
43149,1,0
120464,0,0
206824,0,0
315267,0,0
564082,0,0
208468,0,0
355615,0,0
152584,0,0
5432,0,0
198955,0,0
542677,0,0
202760,0,0
146669,0,0
486070,0,0
575560,0,0
166213,0,0
416923,0,0
480616,0,0
319063,0,0
483939,0,0
515308,0,0
282919,0,0
432966,0,0
3315,0,0
174538,0,0
321248,0,0
436799,0,0
585788,0,0
133375,0,0
232,0,0
544002,0,0
73853,0,0
326759,0,0
176575,0,0
229692,0,0
318352,0,0
323490,0,0
257994,0,0
55557,0,0
256273,0,0
507472,0,0
343652,0,0
452084,0,0
337749,0,0
226702,0,0
488847,0,0
307836,0,0
319821,0,0
407056,0,0
169909,0,0
218174,0,0
118268,0,0
285961,0,0
479628,0,0
244379,0,0
22036,0,0
462981,0,0
418152,0,0
324608,0,0
369664,0,0
110647,0,0
279657,0,0
426526,0,0
360939,0,0
422819,0,0
316759,1,0
221166,0,0
60749,0,0
345985,0,0
329543,0,0
231538,0,0
478896,0,0
388309,0,0
218320,0,0
154336,1,0
131154,0,0
271737,0,0
150441,0,0
327242,0,0
477456,0,0
529191,0,0
132202,0,0
405371,0,0
31344,0,0
459733,0,0
124190,1,0
272658,0,0
142910,0,0
412118,0,0
48790,0,0
514371,0,0
564256,0,0
229166,0,0
221618,0,0
287179,0,0
204414,0,0
38684,0,0
457117,0,0
80711,0,0
357810,0,0
111541,0,0
427471,0,0
25905,0,0
101213,0,0
546577,0,0
141609,0,0
519544,0,0
290930,0,0
372189,0,0
352503,0,0
390084,0,0
430479,0,0
13638,0,0
423708,0,0
9199,0,0
379476,0,0
584223,0,0
56611,0,0
514376,1,0
295626,0,0
203108,0,0
134442,0,0
75776,0,0
307843,0,0
394322,0,0
110513,0,0
412291,0,0
335726,0,0
73772,0,0
296207,0,0
31613,0,0
270703,0,0
590466,0,0
221795,0,0
389622,0,0
195940,0,0
505495,0,0
468173,0,0
457688,0,0
405161,0,0
123754,0,0
256274,0,0
420073,0,0
409328,0,0
36964,0,0
360410,0,0
258668,0,0
412463,0,0
575815,0,0
315841,0,0
463421,0,0
406872,0,0
72605,0,0
188332,0,0
229571,0,0
468866,0,0
4464,0,0
8561,0,0
294361,0,0
349630,0,0
104388,1,0
389785,0,0
45416,0,0
66354,0,0
340003,0,0
106886,0,0
208064,0,0
479942,0,0
357855,0,0
49545,0,0
102827,0,0
415581,0,0
140319,0,0
573503,0,0
433404,0,0
374216,0,0
255262,0,0
529503,0,0
244691,0,0
81993,0,0
267809,0,0
34228,0,0
530406,0,0
594197,0,0
359132,0,0
136086,0,0
